CancerType,Year,Age,AgeSpecificRate,CaseCount,Population
'All Cancer Sites Combined','2012-2016','1-4','22.9','18306','79777139'
'All Cancer Sites Combined','2012-2016','10-14','15.0','15510','103232418'
'All Cancer Sites Combined','2012-2016','15-19','23.5','24825','105862691'
'All Cancer Sites Combined','2012-2016','20-24','36.3','41204','113365107'
'All Cancer Sites Combined','2012-2016','25-29','60.9','67171','110302334'
'All Cancer Sites Combined','2012-2016','30-34','96.9','103861','107226290'
'All Cancer Sites Combined','2012-2016','35-39','144.7','145023','100203325'
'All Cancer Sites Combined','2012-2016','40-44','228.3','233814','102394606'
'All Cancer Sites Combined','2012-2016','45-49','359.0','379037','105575303'
'All Cancer Sites Combined','2012-2016','5-9','13.3','13590','102456016'
'All Cancer Sites Combined','2012-2016','50-54','574.5','642642','111853378'
'All Cancer Sites Combined','2012-2016','55-59','841.9','902666','107219272'
'All Cancer Sites Combined','2012-2016','60-64','1175.9','1093926','93027043'
'All Cancer Sites Combined','2012-2016','65-69','1621.3','1245044','76791129'
'All Cancer Sites Combined','2012-2016','70-74','1955.7','1075470','54990809'
'All Cancer Sites Combined','2012-2016','75-79','2199.0','870609','39591870'
'All Cancer Sites Combined','2012-2016','80-84','2288.1','662812','28968005'
'All Cancer Sites Combined','2012-2016','85+','2114.9','649421','30707251'
'All Cancer Sites Combined','2012-2016','<1','28.4','5618','19752090'